ID,feed_type,feed_shape,feed_particle_size,feed_LHV,C,H,N,S,O,feed_ash,feed_moisture,feed_VM,feed_FC,feed_cellulose,feed_hemicellulose,feed_lignin,temperature,operating_condition,operating_pressure,residence_time,steam_biomass_ratio,ER,gasifying_agent,reactor_type,bed_material,catalyst,scale,N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE,Reference
38,herbaceous biomass,fibres,4,13.96,43.52,5.72,1.2,0.66,48.9,4.88,7.8,86.05,9.07,NaN,NaN,NaN,770,continuous,atmospheric,NaN,NaN,0.28,air,fluidised bed,silica,0,pilot,57.5,5,14.75,19.75,3,NaN,3.8,NaN,1.65,NaN,38,67,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
39,herbaceous biomass,fibres,4,13.96,43.52,5.72,1.2,0.66,48.9,4.88,7.8,86.05,9.07,NaN,NaN,NaN,770,continuous,atmospheric,NaN,NaN,0.32,air,fluidised bed,silica,0,pilot,58.5,4,13.75,21,2.75,NaN,3.35,NaN,1.76,NaN,39,71,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
40,woody biomass,fibres,4,15.73,44.96,5.83,3.1,0.61,45.5,0.47,14.6,89.11,10.42,NaN,NaN,NaN,650,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,61,6,15,15,3,NaN,3.86,NaN,1.2,NaN,30,52,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
41,woody biomass,fibres,4,15.73,44.96,5.83,3.1,0.61,45.5,0.47,14.6,89.11,10.42,NaN,NaN,NaN,750,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,59.75,6,14.5,17.5,2.25,NaN,3.5,NaN,1.7,NaN,35,70,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
42,woody biomass,fibres,4,15.73,44.96,5.83,3.1,0.61,45.5,0.47,14.6,89.11,10.42,NaN,NaN,NaN,850,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,55.25,8,15,19,2.75,NaN,4,NaN,1.75,NaN,43,79,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
43,woody biomass,fibres,4,15.73,44.96,5.83,3.1,0.61,45.5,0.47,14.6,89.11,10.42,NaN,NaN,NaN,950,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,50,14.5,16,16.75,2.75,NaN,5.1,NaN,1.8,NaN,58,82,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
44,woody biomass,fibres,4,15.73,44.96,5.83,3.1,0.61,45.5,0.47,14.6,89.11,10.42,NaN,NaN,NaN,1050,continuous,atmospheric,NaN,NaN,0.25,air,fluidised bed,silica,0,pilot,46.7,19.5,17.8,13.25,2.75,NaN,5.87,NaN,2,NaN,72,84,"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
45,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,700,continuous,atmospheric,NaN,2.7,0.22,air + steam,fluidised bed,silica,0,lab,1.5,22,42.5,21,8.5,4.5,7.95,NaN,1.43,NaN,59.87,78.17,"Lv, Bioresource Technology 2004, 95, 95-101"
46,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,750,continuous,atmospheric,NaN,2.7,0.22,air + steam,fluidised bed,silica,0,lab,2.5,28,39,19,8,3.5,7.65,NaN,1.51,NaN,60.88,80.66,"Lv, Bioresource Technology 2004, 95, 95-101"
47,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,2.7,0.22,air + steam,fluidised bed,silica,0,lab,1.5,32,37.5,18,7.5,3.5,8.56,NaN,2.23,NaN,100.58,85.9,"Lv, Bioresource Technology 2004, 95, 95-101"
