ID	feed_type	feed_shape	feed_particle_size	feed_LHV	C	H	N	S	O	feed_ash	feed_moisture	feed_VM	feed_FC	feed_cellulose	feed_hemicellulose	feed_lignin	temperature	operating_condition	operating_pressure	residence_time	steam_biomass_ratio	ER	gasifying_agent	reactor_type	bed_material	catalyst	scale	N2	H2	CO	CO2	CH4	C2Hn	gas_LHV	gas_tar	gas_yield	char_yield	CGE	CCE	Reference
47	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	2.70	0.22	air + steam	fluidised bed	silica	0.00	lab	1.50	32.00	37.50	18.00	7.50	3.50	8.56	NaN	2.23	NaN	100.58	85.90	"Lv, Bioresource Technology 2004, 95, 95-101"
48	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	850.00	continuous	atmospheric	NaN	2.70	0.22	air + steam	fluidised bed	silica	0.00	lab	1.00	36.50	34.00	18.50	7.50	2.50	8.22	NaN	2.45	NaN	106.16	92.35	"Lv, Bioresource Technology 2004, 95, 95-101"
49	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	900.00	continuous	atmospheric	NaN	2.70	0.22	air + steam	fluidised bed	silica	0.00	lab	1.00	39.00	33.50	19.00	6.50	1.00	7.36	NaN	2.53	NaN	98.14	92.59	"Lv, Bioresource Technology 2004, 95, 95-101"
50	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.56	0.19	air + steam	fluidised bed	silica	0.00	lab	1.50	32.50	37.50	17.75	7.75	3.00	8.82	NaN	2.13	NaN	98.96	76.26	"Lv, Bioresource Technology 2004, 95, 95-101"
51	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.56	0.21	air + steam	fluidised bed	silica	0.00	lab	0.75	32.00	39.00	17.50	7.75	3.00	8.84	NaN	2.25	NaN	104.79	84.49	"Lv, Bioresource Technology 2004, 95, 95-101"
52	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.56	0.23	air + steam	fluidised bed	silica	0.00	lab	0.00	32.00	40.00	17.50	7.50	3.00	8.71	NaN	2.37	NaN	108.75	90.60	"Lv, Bioresource Technology 2004, 95, 95-101"
53	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.56	0.25	air + steam	fluidised bed	silica	0.00	lab	0.50	32.00	39.00	18.25	7.50	2.75	8.16	NaN	2.18	NaN	93.78	84.00	"Lv, Bioresource Technology 2004, 95, 95-101"
54	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.56	0.27	air + steam	fluidised bed	silica	0.00	lab	0.50	32.50	37.50	19.75	7.25	2.50	7.28	NaN	1.88	NaN	72.09	70.60	"Lv, Bioresource Technology 2004, 95, 95-101"
55	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	0.00	0.22	air + steam	fluidised bed	silica	0.00	lab	0.00	33.00	43.00	16.00	6.00	2.00	6.74	NaN	1.46	NaN	51.86	68.67	"Lv, Bioresource Technology 2004, 95, 95-101"
56	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.35	0.22	air + steam	fluidised bed	silica	0.00	lab	1.25	30.00	40.50	17.00	8.00	3.25	9.14	NaN	2.39	NaN	115.14	92.09	"Lv, Bioresource Technology 2004, 95, 95-101"
