ID	Inputs																											Outputs												References
	Feedstock information				Ultimate Analysis					Proximate Analysis				Lignocellulosic Composition			Gasifier Conditions and Information											Gas Composition								Yield and Process Efficiency				
	Type	Shape	Particle size [mm]	LHV [MJ/kg wb]	C [%daf]	H [%daf]	N [%daf]	S [%daf]	O [%daf]	Ash [%db]	Moisture [%wb]	Volatile Matter [%db]	Fixed carbon  [%db]	Cellulose [%db]	Hemicellulose [%db]	Lignin [%db]	Temperature [°C]	Operation (Batch/Continuous)	Operating Pressure [kPa]	Residence time [min]	Steam/Biomass [wt/wt]	ER	Gasifying agent	Reactor Type	Bed material	Catalyst	Scale	N2 [vol.% db]	H2 [vol.% db]	CO [vol.% db]	CO2 [vol.% db]	CH4 [vol.% db]	C2Hn [vol.% db]	LHV [MJ/Nm3]	Tar [g/Nm3]	Gas yield [Nm3/kg wb]	Char yield [g/kg wb]	CGE [%] (wb)	CCE [%] (wb)	
207	pinewood waste	particles	1.5	18.45	49.33	6.06	0.04	0.00	44.57	0.55	9.40	81.02	18.43	-	-	-	800.00	continuous	-	20.00	1.22	-	steam	conical spouted bed	silica sand	-	laboratory scale	0.00	28.00	41.00	12.50	11.50	5.50	15.60	364.00	0.73	8.90	61.69	50.00	"Erkiaga, Chem. Eng. J. 2014, 237, 259-267"
208	pinewood waste	particles	1.5	18.45	49.33	6.06	0.04	0.00	44.57	0.55	9.40	81.02	18.43	-	-	-	850.00	continuous	-	20.00	1.22	-	steam	conical spouted bed	silica sand	-	laboratory scale	0.00	33.00	37.50	14.00	10.00	4.00	14.26	245.00	0.85	6.30	65.31	59.00	"Erkiaga, Chem. Eng. J. 2014, 237, 259-267"
209	pinewood waste	particles	1.5	18.45	49.33	6.06	0.04	0.00	44.57	0.55	9.40	81.02	18.43	-	-	-	900.00	continuous	-	20.00	1.22	-	steam	conical spouted bed	silica sand	-	laboratory scale	0.00	38.00	32.50	16.50	8.50	4.00	13.63	142.00	0.96	4.50	70.92	70.00	"Erkiaga, Chem. Eng. J. 2014, 237, 259-267"
210	pinewood waste	particles	1.5	18.45	49.33	6.06	0.04	0.00	44.57	0.55	9.40	81.02	18.43	-	-	-	900.00	continuous	-	20.00	0.11	-	steam	conical spouted bed	silica sand	-	laboratory scale	0.00	28.50	50.00	7.00	10.00	4.00	15.36	154.00	0.79	10.70	65.33	62.50	"Erkiaga, Chem. Eng. J. 2014, 237, 259-267"
211	pinewood waste	particles	1.5	18.45	49.33	6.06	0.04	0.00	44.57	0.55	9.40	81.02	18.43	-	-	-	900.00	continuous	-	20.00	2.33	-	steam	conical spouted bed	silica sand	-	laboratory scale	0.00	41.00	30.00	18.00	7.50	3.50	12.98	142.00	1.01	3.60	71.14	70.00	"Erkiaga, Chem. Eng. J. 2014, 237, 259-267"
212	pinewood waste	particles	0.65	18.45	49.33	6.06	0.04	0.00	44.57	0.55	9.40	81.02	18.43	-	-	-	850.00	continuous	-	20.00	1.22	-	steam	conical spouted bed	silica sand	-	laboratory scale	0.00	31.50	40.00	13.50	10.00	5.00	15.01	243.00	0.74	6.20	60.52	59.00	"Erkiaga, Chem. Eng. J. 2014, 237, 259-267"
213	pinewood waste	particles	3	18.45	49.33	6.06	0.04	0.00	44.57	0.55	9.40	81.02	18.43	-	-	-	850.00	continuous	-	20.00	1.22	-	steam	conical spouted bed	silica sand	-	laboratory scale	0.00	28.50	37.50	17.00	11.50	5.00	14.91	263.00	0.72	6.40	57.87	59.00	"Erkiaga, Chem. Eng. J. 2014, 237, 259-267"
214	pine wood	pellets	6x20	18.50	49.40	5.90	0.10	0.00	44.50	0.33	8.50	80.98	18.69	-	-	-	780.00	continuous	atmospheric	20-60	0.00	0.30	air	fluidised bed	?-alumina 	Nickel (5.5 wt.%)	pilot-scale	52.85	14.00	16.50	13.00	3.50	0.15	4.58	-	2.18	-	54.00	74.96	"Ruoppolo, Waste Management 2012, 32, 724-732"
215	pine wood	pellets	6x20	18.50	49.40	5.90	0.10	0.00	44.50	0.33	8.50	80.98	18.69	-	-	-	780.00	continuous	atmospheric	20-60	0.65	0.29	air + steam	fluidised bed	?-alumina 	Nickel (5.5 wt.%)	pilot-scale	42.44	25.00	14.00	16.50	2.00	0.06	5.06	-	2.60	-	71.00	88.33	"Ruoppolo, Waste Management 2012, 32, 724-732"
216	pine wood	pellets	6x20	18.50	49.40	5.90	0.10	0.00	44.50	0.33	8.50	80.98	18.69	-	-	-	780.00	continuous	atmospheric	20-60	0.91	0.29	air + steam	fluidised bed	?-alumina 	Nickel (5.5 wt.%)	pilot-scale	47.96	23.50	11.50	15.00	2.00	0.04	4.46	-	2.57	-	62.00	76.71	"Ruoppolo, Waste Management 2012, 32, 724-732"
217	pine wood	pellets	6x20	18.50	49.40	5.90	0.10	0.00	44.50	0.33	8.50	80.98	18.69	-	-	-	780.00	continuous	atmospheric	20-60	0.65	0.17	air + steam	fluidised bed	?-alumina 	Nickel (5.5 wt.%)	pilot-scale	50.50	17.50	12.00	16.00	4.00	0.00	6.88	-	1.86	-	69.00	61.91	"Ruoppolo, Waste Management 2012, 32, 724-732"
218	pine wood	pellets	6x20	18.50	49.40	5.90	0.10	0.00	44.50	0.33	8.50	80.98	18.69	-	-	-	780.00	continuous	atmospheric	20-60	0.00	0.30	air	fluidised bed	quartzite sand	-	pilot-scale	53.03	11.00	17.50	12.50	4.50	1.47	5.83	-	1.46	-	46.00	56.11	"Ruoppolo, Waste Management 2012, 32, 724-732"
219	pine wood	pellets	6x20	18.50	49.40	5.90	0.10	0.00	44.50	0.33	8.50	80.98	18.69	-	-	-	780.00	continuous	atmospheric	20-60	0.65	0.29	air + steam	fluidised bed	quartzite sand	-	pilot-scale	51.44	17.00	12.00	15.00	3.50	1.06	4.51	-	2.21	-	54.00	75.12	"Ruoppolo, Waste Management 2012, 32, 724-732"
220	pine wood	pellets	6x20	18.50	49.40	5.90	0.10	0.00	44.50	0.33	8.50	80.98	18.69	-	-	-	780.00	continuous	atmospheric	20-60	0.91	0.29	air + steam	fluidised bed	quartzite sand	-	pilot-scale	50.04	17.50	11.50	16.00	4.00	0.96	4.73	-	2.19	-	56.00	76.21	"Ruoppolo, Waste Management 2012, 32, 724-732"
221	pine wood	pellets	6x20	18.50	49.40	5.90	0.10	0.00	44.50	0.33	8.50	80.98	18.69	-	-	-	780.00	continuous	atmospheric	20-60	0.00	0.17	air	fluidised bed	quartzite sand	-	pilot-scale	38.51	16.00	23.50	14.50	7.00	0.49	7.50	-	1.63	-	66.00	76.66	"Ruoppolo, Waste Management 2012, 32, 724-732"
222	pine wood	pellets	6x20	18.50	49.40	5.90	0.10	0.00	44.50	0.33	8.50	80.98	18.69	-	-	-	780.00	continuous	atmospheric	20-60	0.65	0.17	air + steam	fluidised bed	quartzite sand	-	pilot-scale	42.04	20.00	15.50	16.50	5.00	0.96	6.55	-	1.84	-	65.00	74.05	"Ruoppolo, Waste Management 2012, 32, 724-732"
223	polyethylene (80 wt.%)/pine wood sawdust (20 wt.%)	pellets	6x20	21.90	54.90	6.80	0.50	0.00	37.80	1.48	5.70	82.61	15.91	-	-	-	780.00	continuous	atmospheric	20-60	0.00	0.23	air	fluidised bed	?-alumina 	Nickel (5.5 wt.%)	pilot-scale	36.27	30.00	13.50	16.00	3.50	0.73	6.59	-	2.63	-	79.00	84.70	"Ruoppolo, Waste Management 2012, 32, 724-732"
224	polyethylene (80 wt.%)/pine wood sawdust (20 wt.%)	pellets	6x20	21.90	54.90	6.80	0.50	0.00	37.80	1.48	5.70	82.61	15.91	-	-	-	780.00	continuous	atmospheric	20-60	0.00	0.19	air	fluidised bed	?-alumina 	Nickel (5.5 wt.%)	pilot-scale	46.31	22.00	10.00	19.50	2.00	0.19	4.35	-	2.62	-	52.00	79.20	"Ruoppolo, Waste Management 2012, 32, 724-732"
225	polyethylene (80 wt.%)/pine wood sawdust (20 wt.%)	pellets	6x20	21.90	54.90	6.80	0.50	0.00	37.80	1.48	5.70	82.61	15.91	-	-	-	780.00	continuous	atmospheric	20-60	0.60	0.12	air + steam	fluidised bed	?-alumina 	Nickel (5.5 wt.%)	pilot-scale	32.08	32.00	14.00	16.50	4.00	1.42	7.48	-	2.14	-	73.00	74.56	"Ruoppolo, Waste Management 2012, 32, 724-732"
226	polyethylene (80 wt.%)/pine wood sawdust (20 wt.%)	pellets	6x20	21.90	54.90	6.80	0.50	0.00	37.80	1.48	5.70	82.61	15.91	-	-	-	780.00	continuous	atmospheric	20-60	0.00	0.23	air	fluidised bed	quartzite sand	-	pilot-scale	44.50	17.00	16.00	10.50	12.00	0.00	7.81	-	2.64	-	94.00	93.18	"Ruoppolo, Waste Management 2012, 32, 724-732"
227	polyethylene (80 wt.%)/pine wood sawdust (20 wt.%)	pellets	6x20	21.90	54.90	6.80	0.50	0.00	37.80	1.48	5.70	82.61	15.91	-	-	-	780.00	continuous	atmospheric	20-60	0.00	0.19	air	fluidised bed	quartzite sand	-	pilot-scale	48.50	16.00	15.00	11.50	9.00	0.00	6.69	-	1.93	-	59.00	63.25	"Ruoppolo, Waste Management 2012, 32, 724-732"
228	olive husk	pellets	6x20	19.30	53.50	5.70	1.00	0.00	39.80	3.51	8.90	74.86	21.62	-	-	-	780.00	continuous	atmospheric	20-60	0.00	0.17	air	fluidised bed	?-alumina 	Nickel (5.5 wt.%)	pilot-scale	43.17	17.50	19.00	13.00	6.50	0.83	5.95	-	1.98	-	61.00	75.22	"Ruoppolo, Waste Management 2012, 32, 724-732"
229	olive husk	pellets	6x20	19.30	53.50	5.70	1.00	0.00	39.80	3.51	8.90	74.86	21.62	-	-	-	780.00	continuous	atmospheric	20-60	0.44	0.09	air + steam	fluidised bed	?-alumina 	Nickel (5.5 wt.%)	pilot-scale	42.11	21.00	18.00	12.50	5.00	1.39	8.64	-	1.47	-	66.00	53.49	"Ruoppolo, Waste Management 2012, 32, 724-732"
230	olive husk	pellets	6x20	19.30	53.50	5.70	1.00	0.00	39.80	3.51	8.90	74.86	21.62	-	-	-	780.00	continuous	atmospheric	20-60	0.00	0.17	air	fluidised bed	quartzite sand	-	pilot-scale	48.50	16.00	17.50	12.00	6.00	0.00	6.58	-	1.76	-	60.00	59.12	"Ruoppolo, Waste Management 2012, 32, 724-732"
231	olive husk	pellets	6x20	19.30	53.50	5.70	1.00	0.00	39.80	3.51	8.90	74.86	21.62	-	-	-	780.00	continuous	atmospheric	20-60	0.44	0.09	air + steam	fluidised bed	quartzite sand	-	pilot-scale	54.00	17.00	15.00	10.00	4.00	0.00	6.52	-	0.95	-	32.00	26.04	"Ruoppolo, Waste Management 2012, 32, 724-732"
232	pine sawdust	dust	2.5	16.24	48.32	7.45	1.28	0.06	43.07	0.91	9.28	84.85	14.22	-	-	-	750.00	continuous	atmospheric	-	-	0.20	air	updraft	-	-	-	55.00	6.80	18.70	11.40	6.00	2.10	6.60	87.10	1.44	-	58.53	60.71	"Huili Liu, J. Nat. Gas Chem. 2012, 21, 374-380"
233	pine sawdust	dust	2.5	16.24	48.32	7.45	1.28	0.06	43.07	0.91	9.28	84.85	14.22	-	-	-	800.00	continuous	atmospheric	-	-	0.20	air	updraft	-	-	-	49.90	9.30	21.80	11.00	6.00	2.00	7.06	55.20	1.59	-	69.14	70.97	"Huili Liu, J. Nat. Gas Chem. 2012, 21, 374-380"
234	pine sawdust	dust	2.5	16.24	48.32	7.45	1.28	0.06	43.07	0.91	9.28	84.85	14.22	-	-	-	850.00	continuous	atmospheric	-	-	0.20	air	updraft	-	-	-	44.20	13.00	24.70	10.80	5.50	1.80	7.45	48.90	1.80	-	82.59	83.55	"Huili Liu, J. Nat. Gas Chem. 2012, 21, 374-380"
235	pine sawdust	dust	2.5	16.24	48.32	7.45	1.28	0.06	43.07	0.91	9.28	84.85	14.22	-	-	-	900.00	continuous	atmospheric	-	-	0.20	air	updraft	-	-	-	39.00	16.00	27.90	11.00	5.10	1.00	7.72	41.70	2.01	-	95.57	96.06	"Huili Liu, J. Nat. Gas Chem. 2012, 21, 374-380"
236	pine sawdust	dust	2.5	16.24	48.32	7.45	1.28	0.06	43.07	0.91	9.28	84.85	14.22	-	-	-	950.00	continuous	atmospheric	-	-	0.20	air	updraft	-	-	-	35.10	18.60	31.30	10.40	4.10	0.50	7.70	38.10	2.07	-	98.17	100.38	"Huili Liu, J. Nat. Gas Chem. 2012, 21, 374-380"
237	pine sawdust	dust	2.5	16.24	48.32	7.45	1.28	0.06	43.07	0.91	9.28	84.85	14.22	-	-	-	800.00	continuous	atmospheric	-	-	0.10	air	updraft	-	-	-	52.50	9.80	21.40	8.10	6.00	2.20	7.26	80.40	1.30	-	58.13	53.83	"Huili Liu, J. Nat. Gas Chem. 2012, 21, 374-380"
238	pine sawdust	dust	2.5	16.24	48.32	7.45	1.28	0.06	43.07	0.91	9.28	84.85	14.22	-	-	-	800.00	continuous	atmospheric	-	-	0.30	air	updraft	-	-	-	50.80	9.00	20.10	13.50	5.10	1.50	6.32	43.50	1.89	-	73.57	82.68	"Huili Liu, J. Nat. Gas Chem. 2012, 21, 374-380"
239	pine sawdust	dust	2.5	16.24	48.32	7.45	1.28	0.06	43.07	0.91	9.28	84.85	14.22	-	-	-	800.00	continuous	atmospheric	-	-	0.40	air	updraft	-	-	-	52.00	7.90	18.90	16.10	4.30	0.80	5.37	36.40	2.31	-	76.40	99.70	"Huili Liu, J. Nat. Gas Chem. 2012, 21, 374-380"
240	pine sawdust	dust	2.5	16.24	48.32	7.45	1.28	0.06	43.07	0.91	9.28	84.85	14.22	-	-	-	800.00	continuous	atmospheric	-	-	0.50	air	updraft	-	-	-	55.40	6.50	15.80	18.70	3.10	0.50	4.15	31.90	2.84	-	72.59	116.66	"Huili Liu, J. Nat. Gas Chem. 2012, 21, 374-380"
241	corn straw	particles	3.75	15.83	43.83	5.95	0.97	0.13	45.01	5.93	6.17	75.95	13.75	-	-	-	900.00	continuous	atmospheric	-	-	0.18	air	fixed-bed downdraft	-	-	bench-scale	48.58	6.91	11.35	23.93	1.27	0.98	2.69	7.22	1.35	-	21.17	61.86	"Gai, Int. J. Hydrog 2012, 37, 4935-4944"
242	corn straw	particles	3.75	15.83	43.83	5.95	0.97	0.13	45.01	5.93	6.17	75.95	13.75	-	-	-	950.00	continuous	atmospheric	-	-	0.21	air	fixed-bed downdraft	-	-	bench-scale	51.15	8.23	13.55	20.37	1.84	1.12	3.32	6.85	1.47	-	28.46	65.94	"Gai, Int. J. Hydrog 2012, 37, 4935-4944"
243	corn straw	particles	3.75	15.83	43.83	5.95	0.97	0.13	45.01	5.93	6.17	75.95	13.75	-	-	-	965.00	continuous	atmospheric	-	-	0.24	air	fixed-bed downdraft	-	-	bench-scale	52.73	10.92	16.72	16.48	2.98	1.27	4.43	6.32	1.62	-	41.85	73.26	"Gai, Int. J. Hydrog 2012, 37, 4935-4944"
244	corn straw	particles	3.75	15.83	43.83	5.95	0.97	0.13	45.01	5.93	6.17	75.95	13.75	-	-	-	975.00	continuous	atmospheric	-	-	0.28	air	fixed-bed downdraft	-	-	bench-scale	53.49	12.78	18.99	13.11	3.96	1.75	5.30	5.69	1.81	-	55.94	82.92	"Gai, Int. J. Hydrog 2012, 37, 4935-4944"
245	corn straw	particles	3.75	15.83	43.83	5.95	0.97	0.13	45.01	5.93	6.17	75.95	13.75	-	-	-	985.00	continuous	atmospheric	-	-	0.32	air	fixed-bed downdraft	-	-	bench-scale	55.67	13.51	19.81	11.58	3.72	1.62	5.39	5.13	2.14	-	67.26	94.74	"Gai, Int. J. Hydrog 2012, 37, 4935-4944"
246	corn straw	particles	3.75	15.83	43.83	5.95	0.97	0.13	45.01	5.93	6.17	75.95	13.75	-	-	-	995.00	continuous	atmospheric	-	-	0.36	air	fixed-bed downdraft	-	-	bench-scale	56.88	12.26	17.97	13.82	3.65	1.54	4.99	4.87	2.53	-	73.61	113.13	"Gai, Int. J. Hydrog 2012, 37, 4935-4944"
247	corn straw	particles	3.75	15.83	43.83	5.95	0.97	0.13	45.01	5.93	6.17	75.95	13.75	-	-	-	1025.00	continuous	atmospheric	-	-	0.41	air	fixed-bed downdraft	-	-	bench-scale	59.71	10.58	15.16	18.41	1.57	1.31	3.69	4.62	2.86	-	61.54	126.89	"Gai, Int. J. Hydrog 2012, 37, 4935-4944"
248	pine sawdust	dust	2.4	14.64	50.00	5.70	0.20	0.03	44.10	0.85	23.50	82.00	16.50	-	-	-	800.00	continuous	atmospheric	300.00	-	0.32	air	bubbling fluidised bed	silica sand	-	pilot-scale	61.30	7.00	14.00	13.50	3.00	1.20	4.30	3.73	1.85	-	54.34	62.23	"Narváez, Ind. Eng. Chem. Res. 1996, 35, 2110-2120"
249	pine sawdust	dust	2.4	14.94	50.00	5.70	0.20	0.03	44.10	0.85	21.00	82.00	16.50	-	-	-	800.00	continuous	atmospheric	300.00	-	0.37	air	bubbling fluidised bed	silica sand	-	pilot-scale	58.30	9.50	13.00	15.00	2.70	1.60	4.60	7.16	2.07	-	63.63	71.90	"Narváez, Ind. Eng. Chem. Res. 1996, 35, 2110-2120"
250	pine sawdust	dust	2.4	14.70	50.00	5.70	0.20	0.03	44.10	0.85	23.00	82.00	16.50	-	-	-	810.00	continuous	atmospheric	162.00	-	0.47	air	bubbling fluidised bed	silica sand	-	pilot-scale	66.50	8.00	10.00	12.00	2.40	1.10	3.70	2.99	2.03	-	51.18	55.53	"Narváez, Ind. Eng. Chem. Res. 1996, 35, 2110-2120"
251	pine sawdust	dust	2.4	14.81	50.00	5.70	0.20	0.03	44.10	0.85	22.00	82.00	16.50	-	-	-	800.00	continuous	atmospheric	240.00	-	0.26	air	bubbling fluidised bed	silica sand	-	pilot-scale	58.30	9.50	13.00	15.00	2.70	1.60	4.60	2.01	1.72	-	53.45	59.90	"Narváez, Ind. Eng. Chem. Res. 1996, 35, 2110-2120"
252	pine sawdust	dust	2.4	14.46	50.00	5.70	0.20	0.03	44.10	0.85	25.00	82.00	16.50	-	-	-	790.00	continuous	atmospheric	300.00	-	0.36	air	bubbling fluidised bed	silica sand	-	pilot-scale	58.30	9.50	13.00	15.00	2.70	1.60	4.60	2.01	1.92	-	61.07	66.82	"Narváez, Ind. Eng. Chem. Res. 1996, 35, 2110-2120"
253	pine sawdust	dust	2.4	15.19	50.00	5.70	0.20	0.03	44.10	0.85	19.00	82.00	16.50	-	-	-	800.00	continuous	atmospheric	312.00	-	0.32	air	bubbling fluidised bed	atmospheric	-	pilot-scale	45.00	9.50	18.00	13.50	4.50	2.30	6.30	9.98	1.76	-	73.21	72.80	"Narváez, Ind. Eng. Chem. Res. 1996, 35, 2110-2120"
254	peach prunings	pieces	10	17.42	50.62	6.07	0.31	0.16	42.83	2.20	8.17	86.27	11.53	37.53	19.33	23.84	790.00	batch	slightly below atmospheric	16.30	-	0.58	air	fixed-bed downdraft	-	-	pilot-scale	51.69	16.00	16.00	14.25	1.76	0.30	4.65	0.55	2.30	-	61.39	75.80	"Yin, Bioresour. Technol. 2012, 119,15-21"
255	peach prunings	pieces	15	17.42	50.62	6.07	0.31	0.16	42.83	2.20	8.17	86.27	11.53	37.53	19.33	23.84	820.00	batch	slightly below atmospheric	18.60	-	0.67	air	fixed-bed downdraft	-	-	pilot-scale	51.94	15.00	20.50	11.50	0.95	0.11	4.70	0.08	2.60	-	70.14	86.31	"Yin, Bioresour. Technol. 2012, 119,15-21"
256	peach prunings	pieces	30	17.42	50.62	6.07	0.31	0.16	42.83	2.20	8.17	86.27	11.53	37.53	19.33	23.84	930.00	batch	slightly below atmospheric	20.30	-	0.73	air	fixed-bed downdraft	-	-	pilot-scale	53.08	13.75	20.50	12.00	0.62	0.05	4.30	0.08	2.75	-	67.88	91.54	"Yin, Bioresour. Technol. 2012, 119,15-21"
257	peach prunings	pieces	50	17.42	50.62	6.07	0.31	0.16	42.83	2.20	8.17	86.27	11.53	37.53	19.33	23.84	1030.00	batch	slightly below atmospheric	21.70	-	0.77	air	fixed-bed downdraft	-	-	pilot-scale	55.72	12.00	23.75	8.25	0.25	0.03	4.40	0.02	3.00	-	75.77	96.07	"Yin, Bioresour. Technol. 2012, 119,15-21"
258	peach prunings	pieces	70	17.42	50.62	6.07	0.31	0.16	42.83	2.20	8.17	86.27	11.53	37.53	19.33	23.84	1000.00	batch	slightly below atmospheric	24.80	-	0.87	air	fixed-bed downdraft	-	-	pilot-scale	56.29	12.00	21.50	9.75	0.40	0.06	4.35	0.03	3.40	-	84.89	107.64	"Yin, Bioresour. Technol. 2012, 119,15-21"
259	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	720.00	continuous	atmospheric	-	1.20	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.00	71.50	9.00	7.50	12.00	-	13.15	-	0.77	-	70.41	24.03	"Song, Biomass Bioenergy 2012, 36, 258-267"
260	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	770.00	continuous	atmospheric	-	1.20	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.00	64.00	13.00	14.00	9.00	-	11.77	-	0.91	-	73.94	36.02	"Song, Biomass Bioenergy 2012, 36, 258-267"
261	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	820.00	continuous	atmospheric	-	1.20	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.00	60.00	15.00	17.00	8.00	-	11.24	-	1.17	-	90.72	51.63	"Song, Biomass Bioenergy 2012, 36, 258-267"
262	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	870.00	continuous	atmospheric	-	1.20	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	1.00	56.00	20.00	15.00	8.00	-	11.44	-	1.34	-	106.02	63.22	"Song, Biomass Bioenergy 2012, 36, 258-267"
263	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	920.00	continuous	atmospheric	-	1.20	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.50	52.50	25.00	14.00	8.00	-	11.69	-	1.48	-	119.64	75.88	"Song, Biomass Bioenergy 2012, 36, 258-267"
264	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	820.00	continuous	atmospheric	-	0.80	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.00	56.00	20.00	15.00	9.00	-	11.79	9.00	0.91	-	74.36	43.97	"Song, Biomass Bioenergy 2012, 36, 258-267"
265	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	820.00	continuous	atmospheric	-	1.00	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.00	57.50	18.00	17.00	8.00	-	11.34	8.85	1.04	-	81.61	49.29	"Song, Biomass Bioenergy 2012, 36, 258-267"
266	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	820.00	continuous	atmospheric	-	1.20	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.00	60.00	15.00	17.50	8.00	-	11.24	7.85	1.18	-	91.72	52.88	"Song, Biomass Bioenergy 2012, 36, 258-267"
267	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	820.00	continuous	atmospheric	-	1.40	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.00	60.00	15.00	17.50	8.00	-	11.24	6.70	1.29	-	99.90	57.60	"Song, Biomass Bioenergy 2012, 36, 258-267"
268	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	820.00	continuous	atmospheric	-	1.70	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.00	60.00	14.50	17.50	8.00	-	11.17	6.55	1.11	-	85.79	49.15	"Song, Biomass Bioenergy 2012, 36, 258-267"
269	pine wood	-	1.5	14.47	46.29	6.48	1.04	0.12	46.08	1.56	11.89	75.78	14.77	-	-	-	820.00	continuous	atmospheric	-	2.00	-	steam	interconnected fluidised bed	silica sand	-	laboratory scale	0.50	60.00	14.00	17.50	8.00	-	11.11	6.50	1.03	-	79.02	44.99	"Song, Biomass Bioenergy 2012, 36, 258-267"
270	corn cobs	-	27.588675	17.30	47.60	6.10	0.52	-	45.78	2.12	10.10	80.06	17.82	-	-	-	926.85	continuous	-	-	-	0.28	air	fixed-bed downdraft	-	-	350 kw_th	46.46	15.83	22.46	12.33	2.25	0.61	5.72	-	2.00	77.97	66.13	78.74	"Biagini, Bioresource Technology 2016, 201, 156-165"
271	corn cobs	-	27.588675	17.30	47.60	6.10	0.52	-	45.78	2.12	10.10	80.06	17.82	-	-	-	926.85	continuous	-	-	-	0.28	air	fixed-bed downdraft	-	-	350 kw_th	45.25	17.56	22.61	12.02	2.03	0.46	5.74	-	2.03	79.45	67.27	78.96	"Biagini, Bioresource Technology 2016, 201, 156-165"
272	corn cobs	-	27.588675	17.30	47.60	6.10	0.52	-	45.78	2.12	10.10	80.06	17.82	-	-	-	926.85	continuous	-	-	-	0.29	air	fixed-bed downdraft	-	-	350 kw_th	46.59	16.60	22.55	11.78	1.91	0.50	5.62	-	2.05	79.45	66.75	79.08	"Biagini, Bioresource Technology 2016, 201, 156-165"
273	wood pellets	-	24.0204	18.40	48.91	5.80	0.18	-	45.11	2.10	9.50	80.63	17.27	-	-	-	926.85	continuous	-	-	-	0.27	air	fixed-bed downdraft	-	-	350 kw_th	47.25	16.35	21.29	12.39	2.28	0.43	5.52	-	1.81	108.62	54.31	67.42	"Biagini, Bioresource Technology 2016, 201, 156-165"
274	rice husk	-	3.15	15.60	49.44	6.25	0.54	-	43.77	16.60	12.50	67.95	15.45	-	-	-	926.85	continuous	-	-	-	0.38	air	fixed-bed downdraft	-	-	350 kw_th	60.50	7.97	20.04	10.58	0.69	0.22	3.76	-	1.74	172.00	41.94	55.76	"Biagini, Bioresource Technology 2016, 201, 156-165"
275	rice husk	-	3.15	15.60	49.44	6.25	0.54	-	43.77	16.60	12.50	67.95	15.45	-	-	-	926.85	continuous	-	-	-	0.41	air	fixed-bed downdraft	-	-	350 kw_th	66.54	5.78	12.27	14.55	0.61	0.24	2.53	-	1.89	187.30	30.63	54.07	"Biagini, Bioresource Technology 2016, 201, 156-165"
276	vine pruning	-	22.740675	18.10	50.84	5.82	0.88	-	42.46	2.62	17.60	80.84	16.54	-	-	-	926.85	continuous	-	-	-	0.26	air	fixed-bed downdraft	-	-	350 kw_th	45.07	17.06	21.74	13.02	2.55	0.54	5.82	-	1.98	120.45	63.58	73.54	"Biagini, Bioresource Technology 2016, 201, 156-165"
277	bamboo	chips	-	21.65	48.39	5.86	2.04	-	39.21	4.50	5.00	80.30	15.20	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	51.50	17.50	19.20	10.30	1.20	-	4.74	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
278	bamboo	chips	-	18.40	48.39	5.86	2.04	-	39.21	4.50	20.00	80.30	15.20	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	50.50	18.20	18.50	11.00	1.35	-	4.78	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
279	gulmohar	chips	-	19.06	44.43	6.16	1.65	-	41.90	5.50	5.00	81.25	13.25	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	52.40	17.00	18.50	10.70	1.20	-	4.60	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
