"Table S1. Literature-derived dataset: Biomass composition, gasification conditions and syngas outputs"																													
																													
Reference	Biomass residue	Gasification technology	Gasifying agent	T [°C]	O2 (wt/wt)	N2 (wt/wt)	H2Og (wt/wt)	MC (wt %ar)	VM (wt %ar)	Ash (wt %ar)	FC (wt %ar)	LHVb (MJ/kg)	C (wt %ar)	H (wt %ar)	O (wt %ar)	N (wt %ar)	S (wt %ar)	Cl (wt %ar)	F (wt %ar)	CO (mol%. db)	H2 (mol%. db)	CH4 (mol%. db)	CO2 (mol%. db)	N2 (mol%. db)	O2 (mol%. db)	CnHm (mol%. db)	HHVs (d.b.) (MJ/m3 )	H2/ CO ratio	
[43]	Citrus peel	Fluidized bed	Air-steam mixture	750	0.09	0.34	0.28	7	64.6	9	20	17.8	39.2	5.8	37.7	1.2	0.1	0	0	8.7	24.8	2.4	20.6	42	0	0	5.2	2.9	
[43]	White pine	Fluidized bed	Air-steam mixture	750	0.12	0.45	0.14	7.6	64.6	0.9	17.4	19.3	48.7	5.5	36.5	0.5	0.2	0	0	6.5	12.2	1.9	17.4	64	0	0	5.3	1.9	
[43]	Citrus peel	Fluidized bed	Air-steam mixture	750	0.11	0.39	0.14	7	64.6	0.9	17.4	19.3	39.2	5.5	37.7	1.2	0.1	0	0	11	4	1.9	17.4	64	0	0	5.3	1.8	
[44]	Citrus peel	Fixed bed	Steam	850	0	0	0.01	12.5	63.5	5	18.9	13.1	36.5	5.3	40	0.6	0	0	0	9.8	58.5	0.7	31	0	0	0	9	6	
[44]	Sawdust	Fluidized bed	Steam	850	0	0	0.01	13.7	68.9	1	16.5	16.5	42.7	5.7	39	0	0.3	0	0	11.9	57.7	1.4	29	0	0	0	9.4	4.8	
[45]	Sawdust	Fluidized bed	Steam	800	0	0	0.55	9	77.8	0.6	12.6	16.9	43.2	6.3	40.5	0.1	0.3	0	0	22	35	13.2	25.2	0	0	4.8	12.5	1.6	
[45]	Sawdust	Fluidized bed	Steam	800	0	0	0.55	9	77.8	0.6	12.6	16.9	43.2	6.3	40.5	0.1	0.3	0	0	26.8	41.3	10.3	18.6	0	0	3	12.8	1.5	
[45]	Sawdust	Fluidized bed	Steam	600	0	0	0.57	9	77.8	0.6	12.6	16.9	43.2	6.3	40.5	0.1	0.3	0	0	12.5	40.4	10.3	34	0	0	2.8	10.8	3.2	
[45]	Sawdust	Fluidized bed	Steam	850	0	0	0.55	9	77.8	0.6	12.6	17.8	43.2	6.3	40.5	0.1	0.3	0	0	36.1	32.9	11.8	14.5	0	0	4.7	13.5	0.9	
[46]	Wood pellets	Fluidized bed	Steam	820	0	0	0.52	9	77.2	0.3	17.7	17.5	47.2	6.3	40.7	0.1	0.3	0	0	36.6	23.7	15.8	12.4	0	0	11.6	13.9	1.6	
[46]	Wood pellets	Fluidized bed	Steam	850	0	0	0.56	6.1	77.2	0.3	17.7	17.5	47.2	5.7	40.7	0.1	0.3	0	0	36	41	15.8	12.4	0	0	3.3	12.9	1.6	
[20]	Coffee grounds	Fluidized bed	Steam	820	0	0	0.52	10.5	71.8	1	16.7	18.2	47.4	5.8	32.8	2.5	0	0	0	28.2	31.2	13.6	17.3	0	0	9.6	15.2	1.1	
[20]	Coffee grounds	Fluidized bed	Steam	817	0	0	0.48	10.5	71.8	1	16.7	18.2	47.4	5.8	32.8	2.5	0	0	0	36.6	23.7	15.8	12.4	0	0	11.5	15.7	0.6	
[20]	Coffee grounds	Fluidized bed	Steam	822	0	0	0.57	10.5	71.8	1	16.7	18.2	47.4	5.8	32.8	2.5	0	0	0	33.7	25.4	17.8	14.2	0	0	10.2	16.4	0.8	
[20]	Coffee grounds	Fluidized bed	Steam	830	0	0	0.48	10.5	71.8	1	16.7	18.2	47.4	5.8	32.8	2.5	0	0	0	37.4	22.1	17.8	12.3	0	0	10.5	16.3	0.8	
[47]	Sawdust	Fluidized bed	Steam	950	0	0	0.47	10	77.3	3.1	9.6	17.7	45	3.1	38	0.7	0	0	0	3	52	5	40	0	0	0	9	17.3	
[47]	Sawdust	Fluidized bed	Steam	950	0	0	0.47	10	77.3	3.1	9.6	17.7	45	3.1	38	0.7	0	0	0	13	57	13	17	0	0	0	14.1	4.4	
[48]	Corn stalk	Fluidized bed	Steam	950	0	0	0.47	10	77.3	3.1	9.6	17.7	45	5.3	38	0.7	0	0	0	7	69	5	19	0	0	2	11.7	9.9	
[48]	Rice straw	Fluidized bed	Steam	650	0	0	0.5	4.5	66.7	19.5	9.4	12.4	36.8	5	32.8	1.4	0.1	0	0	16.6	60.3	12.6	8.8	0	0	1.8	14.8	3.6	
[48]	Wheat straw	Fluidized bed	Steam	650	0	0	0.5	4.5	72.3	12.7	10.5	13.9	40.5	5.4	36.1	0.7	0.1	0	0	16.3	58.7	13.3	9.6	0	0	2.1	14.8	3.6	
[48]	Peanut shell	Fluidized bed	Steam	650	0	0	0.5	3.7	75	6.4	14.9	16.4	47.5	5.7	34.9	1.6	0.1	0	0	15.5	60.8	10.6	11.2	0	0	1.9	13.9	3.9	
[49]	Rice husk	Fixed bed	Steam	500	0	0	0.47	2.3	68.3	10.6	18.9	16.6	45.4	5.2	36	0.3	0.2	0	0	4.3	85.8	4.5	3.6	0	0	1.8	13.3	20.1	
